"ID категории",Категория,ID,Название,"Название в чеке",Артикул,Штрихкод,"Цена продажи, ₽","Себестоимость, ₽","Единицы измерения для продажи","Единицы измерения для списания","Сколько единиц списания в единице продажи","Масса Нетто, гр.","Масса Брутто, гр.","Критический остаток","Желаемый остаток",Комментарий
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356417,"Сертификат 500руб","Сертификат 500руб",,,500,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356420,"Сертификат 1000руб","Сертификат 1000руб",,,1000,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356424,"Сертификат 3000руб","Сертификат 3000руб",,,3000,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356426,"Сертификат 5000руб","Сертификат 5000руб",,,5000,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356428,"Сертификат 10000руб","Сертификат 10000руб",,,10000,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356521,"Сертификат 50000руб","Сертификат 50000руб",,,50000,0,шт.,шт.,1,0,0,0,0,
1525986,Sesderma,37364343,"Домашний уход","Домашний уход",,,100,100,шт.,шт.,1,0,0,0,0,
1368146,"Абонементы Сеть Студия косметологии и лазерной эпиляции",37571238,"Пакет Вип 5 процедур","Пакет Вип 5 процедур",,,25200,0,шт.,шт.,1,0,0,0,0,
1368146,"Абонементы Сеть Студия косметологии и лазерной эпиляции",37571381,"Пакет Тотал 5 процедур","Пакет Тотал 5 процедур",,,36000,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772051,"ELAMI Маска тканевая увлажняющая","ELAMI Маска тканевая увлажняющая",,,350,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772081,"ELAMI Бальзам для губ ","ELAMI Бальзам для губ ",,,350,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772303,"ELAMI Пенка для умывания с гилауроновой кислотой 160мл.","ELAMI Пенка для умывания с гилауроновой кислотой 160мл.",,,1500,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772378,"ELAMI Шиммер крем для тела сияние и увлажнение 100мл.","ELAMI Шиммер крем для тела сияние и увлажнение 100мл.",,,1500,0,шт.,шт.,1,0,0,0,0,
1525984,Angiopharm,38195334,"ANGIOPHARM CT05 Ceramide repair cream / Восстанавливающий крем с церамидами 50мл.","ANGIOPHARM CT05 Ceramide repair cream / Восстанавливающий крем с церамидами 50мл.",,,3300,1650,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38195700,"ANGIOPHARM AG05 Multipeptide antiaging cream / мультипептидный омолаживающий крем 50мл","ANGIOPHARM AG05 Multipeptide antiaging cream / мультипептидный омолаживающий крем 50мл",,,3350,1675,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38195775,"ANGIOPHARM Whitening cream / осветляющий крем 50мл.","ANGIOPHARM Whitening cream / осветляющий крем 50мл.",,,3700,1850,шт.,шт.,1,0,0,1,0,
1525984,Angiopharm,38195928,"ANGIOPHARM CT02 Cream-comfort Omega 3*6*9 / крем с омега 3*6*9 50мл.","ANGIOPHARM CT02 Cream-comfort Omega 3*6*9 / крем с омега 3*6*9 50мл.",,,2350,0,шт.,шт.,1,0,0,3,0,
1525984,Angiopharm,38196030,"ANGIOPHARM AO07 Antioxidant vitamin cream / антиоксидантный крем с витаминами А Е С 50 мл.","ANGIOPHARM AO07 Antioxidant vitamin cream / антиоксидантный крем с витаминами А Е С 50 мл.",,,3850,0,шт.,шт.,1,0,0,1,0,
1525984,Angiopharm,38196276,"ANGIOPHARM Azelaine cream / крем с азелаиновой кислотой 20% 50 мл","ANGIOPHARM Azelaine cream / крем с азелаиновой кислотой 20% 50 мл",,,3900,1850,шт.,шт.,1,0,0,1,0,
1525984,Angiopharm,38196309,"ANGIOPHARM SE04 Azelaine soft cream / крем с азелаиновой кислотой для чувствительной кожи 50 мл.","ANGIOPHARM SE04 Azelaine soft cream / крем с азелаиновой кислотой для чувствительной кожи 50 мл.",,,3900,0,шт.,шт.,1,0,0,3,0,
1525984,Angiopharm,38196384,"ANGIOPHARM MS04 Light moisturizing fluid / легкий увлажняющий флюид 50мл.","ANGIOPHARM MS04 Light moisturizing fluid / легкий увлажняющий флюид 50мл.",,,2800,0,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38197278,"ANGIOPHARM MS06 Moisturizing cream / Увлажняющий крем 50мл.","ANGIOPHARM MS06 Moisturizing cream / Увлажняющий крем 50мл.",,,3060,1530,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38199609,"ANGIOPHARM AA18 Cleansing mask / очищающая маска 75мл.","ANGIOPHARM AA18 Cleansing mask / очищающая маска 75мл.",,,1450,0,шт.,шт.,1,0,0,5,0,
1525984,Angiopharm,38199690,"ANGIOPHARM Correcting cream-mask / корректирующая крем-маска 75мл.","ANGIOPHARM Correcting cream-mask / корректирующая крем-маска 75мл.",,,3100,1550,шт.,шт.,1,0,0,0,0,
1525984,Angiopharm,38199735,"ANGIOPHARM Moisturizing body milk / увлажняющее молочко для тела 100мл.","ANGIOPHARM Moisturizing body milk / увлажняющее молочко для тела 100мл.",,,1200,0,шт.,шт.,1,0,0,1,0,
1525984,Angiopharm,38199846,"ANGIOPHARM SPF01 Sunscreen fluid / солнцезащитный флюид SPF30 100мл.","ANGIOPHARM SPF01 Sunscreen fluid / солнцезащитный флюид SPF30 100мл.",,,3600,1800,шт.,шт.,1,0,0,4,0,
1525984,Angiopharm,38199990,"ANGIOPHARM CL23 Silk amino acids cleansing gel / гель для умывания с аминокислотами шелка 200мл.","ANGIOPHARM CL23 Silk amino acids cleansing gel / гель для умывания с аминокислотами шелка 200мл.",,,2000,1000,шт.,шт.,1,0,0,9,0,
1525984,Angiopharm,38200074,"ANGIOPHARM Exfoliating enzyme gel / энзимный гель-эксфолиант 75мл.","ANGIOPHARM Exfoliating enzyme gel / энзимный гель-эксфолиант 75мл.",,,1590,0,шт.,шт.,1,0,0,0,0,
1525984,Angiopharm,38200266,"ANGIOPHARM Multipeptide anti aging serum / мультипептидная омолаживающая сыворотка 30мл.","ANGIOPHARM Multipeptide anti aging serum / мультипептидная омолаживающая сыворотка 30мл.",,,3990,0,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38200335,"ANGIOPHARM AO04 Vitamin C serum / сыворотка с витамином С 10% 30мл.","ANGIOPHARM AO04 Vitamin C serum / сыворотка с витамином С 10% 30мл.",,,5780,2890,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38200791,"ANGIOPHARM AA04 Niacinamide serum / сыворотка с ниацинамидами 30мл.","ANGIOPHARM AA04 Niacinamide serum / сыворотка с ниацинамидами 30мл.",,,2920,1460,шт.,шт.,1,0,0,3,0,
